City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
598,Qui Nhon,VN,91.22,overcast clouds,13.7667,109.2333,
599,Lomovka,RU,72.95,clear sky,53.9194,58.3672,
600,Les Cayes,HT,78.67,broken clouds,18.2,-73.75,
601,Hingoli,IN,80.22,overcast clouds,19.7167,77.15,
603,Pahrump,US,83.25,broken clouds,36.2083,-115.9839,
604,Parsabad,IR,84.52,clear sky,39.6482,47.9174,
605,Manado,ID,79.57,broken clouds,1.487,124.8455,
609,Kavaratti,IN,80.65,overcast clouds,10.5669,72.642,
610,Melekhovo,RU,71.64,overcast clouds,56.2773,41.2935,
612,Odweyne,SO,74.01,clear sky,9.4092,45.064,
614,Joshimath,IN,79.32,broken clouds,30.5667,79.5667,
615,Koumac,NC,76.6,scattered clouds,-20.5667,164.2833,
616,Pavlovsk,RU,76.64,broken clouds,50.4578,40.1081,
617,Myskhako,RU,78.58,clear sky,44.6714,37.7433,
618,Brainerd,US,77.29,thunderstorm with rain,46.358,-94.2008,
621,Owasso,US,88.05,few clouds,36.2695,-95.8547,
622,Sanger,US,84.81,clear sky,36.708,-119.556,
623,Kirakira,SB,84.25,overcast clouds,-10.4544,161.9205,
625,Novosheshminsk,RU,74.8,scattered clouds,55.0651,51.2338,
628,Emba,KZ,78.71,overcast clouds,48.8264,58.1442,
630,Wencheng,CN,96.4,scattered clouds,33.0559,113.7978,
633,Henderson,US,88.72,clear sky,36.0397,-114.9819,
636,Port Blair,IN,80.64,moderate rain,11.6667,92.75,
637,Palmas Bellas,PA,79.34,overcast clouds,9.2319,-80.0867,
638,Galich,RU,74.21,broken clouds,58.3797,42.3475,
639,Yinchuan,CN,98.73,clear sky,38.4681,106.2731,
642,Ixtapa,MX,79.83,thunderstorm,20.7,-105.2,
644,Ambon,ID,78.94,light rain,-3.6954,128.1814,
645,Fare,PF,76.91,moderate rain,-16.7,-151.0167,
648,Fortuna Foothills,US,98.69,clear sky,32.6578,-114.4119,
650,Niksar,TR,73.27,scattered clouds,40.5917,36.9517,
651,Arlit,NE,87.53,scattered clouds,18.7369,7.3853,
652,Nishihara,JP,88.88,broken clouds,26.1842,127.7558,
653,Sinnamary,GF,76.42,clear sky,5.3833,-52.95,
655,Vyksa,RU,74.86,scattered clouds,55.3175,42.1744,
656,Barabash,RU,84.74,broken clouds,43.2,131.4833,
659,Mangrol,IN,83.12,overcast clouds,21.1167,70.1167,
660,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,
663,Hirara,JP,89.46,broken clouds,24.8,125.2833,
667,Banjar,ID,88.38,broken clouds,-8.19,114.9675,
668,Tirano,IT,72.32,few clouds,46.2154,10.1679,
669,Shenkursk,RU,72.52,clear sky,62.1091,42.896,
670,Huangnihe,CN,84.06,scattered clouds,43.5583,128.0239,
671,Kathmandu,NP,75.42,moderate rain,27.7167,85.3167,
672,Masuda,JP,89.87,thunderstorm,34.6667,131.85,
675,Jabinyanah,TN,78.6,scattered clouds,35.035,10.9081,
676,Tura,IN,75.83,overcast clouds,25.5198,90.2201,
677,Daitari,IN,86.05,moderate rain,21.1,85.75,
678,Sol-Iletsk,RU,78.8,overcast clouds,51.1631,54.9918,
679,Progreso,MX,78.12,few clouds,21.2833,-89.6667,
680,Atar,MR,87.24,clear sky,20.5169,-13.0499,
681,Alta Floresta,BR,71.24,few clouds,-9.8756,-56.0861,
684,Pyshma,RU,75.07,few clouds,56.9523,63.2513,
686,Saint-Georges,GD,79.77,broken clouds,12.0564,-61.7485,
687,Mackay,AU,80.69,few clouds,-21.15,149.2,
689,Jacmel,HT,76.84,few clouds,18.2342,-72.5347,
691,Chesma,RU,72.25,clear sky,53.8111,60.6533,
692,Meulaboh,ID,84.67,overcast clouds,4.1363,96.1285,
694,Forestville,US,74.05,clear sky,38.8451,-76.875,
695,Wangqing,CN,88.3,overcast clouds,43.3218,129.7634,
697,Guanica,PR,81.05,overcast clouds,17.9716,-66.908,
699,Wana,PK,81.46,scattered clouds,32.2989,69.5725,
700,Kiunga,PG,84.58,overcast clouds,-6.1219,141.2906,
701,Xining,CN,79.81,broken clouds,36.6167,101.7667,
702,Natal,BR,70.45,few clouds,-5.795,-35.2094,
704,Axim,GH,71.98,scattered clouds,4.8699,-2.2405,
707,Brigantine,US,79.0,clear sky,39.4101,-74.3646,
708,Tonj,SS,70.75,overcast clouds,7.2737,28.6822,
709,Petatlan,MX,75.38,broken clouds,17.5167,-101.2667,
712,Fort-Shevchenko,KZ,79.32,light rain,44.5086,50.263,
713,Gladstone,AU,71.78,overcast clouds,-23.85,151.25,
715,Puerto Narino,CO,71.85,overcast clouds,-3.7703,-70.3831,
716,Tezu,IN,92.39,scattered clouds,27.9167,96.1667,
717,Byron Bay,AU,72.95,broken clouds,-28.65,153.6167,
718,Pouebo,NC,77.72,scattered clouds,-20.4,164.5667,
721,Saluzzo,IT,75.29,clear sky,44.6464,7.4862,
722,Gogrial,SS,71.35,overcast clouds,8.5332,28.1004,
723,Bageshwar,IN,78.75,broken clouds,29.85,79.7667,
725,Boone,US,81.79,few clouds,39.0334,-92.3335,
726,Samarai,PG,81.28,scattered clouds,-10.6167,150.6667,
727,Rossano,IT,77.36,clear sky,39.5751,16.6349,
728,Svirstroy,RU,72.54,broken clouds,60.7999,33.7248,
729,Senno,RU,74.26,scattered clouds,59.5336,33.9167,
